dataset_dir,field,old_value,new_value,reason
llm-srbench/lsrtransform/I.24.6_3_1,target.ood_range,null,"[0.000861255662246, 15.8741546651]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.40.1_4_0,target.ood_range,null,"[-69.2212422134, 10.8123920756]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.21.32_2_0,target.ood_range,null,"[-36855.7715349, 293315.250512]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29b_2_0,target.ood_range,null,"[-165.861074322, 4068.3949668]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.2_1_0,target.ood_range,null,"[-5.40363812186, 189.216727972]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_4_0,target.ood_range,null,"[-3786.40776703, 207.041817967]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.37.1_2_0,target.ood_range,null,"[-5.62185570371, 211.586044018]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.6.15b_3_0,target.ood_range,null,"[0.25141378963, 1.55883398136]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.13.18_0_0,target.ood_range,null,"[-191.757678772, 4528.77380659]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.15.14_1_0,target.ood_range,null,"[-504251.26866, 347364.975851]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.15.27_1_0,target.ood_range,null,"[-90163.0202977, 1969765.60355]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.21.20_2_0,target.ood_range,null,"[-29.7678749189, 721.735080091]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.21.20_3_0,target.ood_range,null,"[-307049.473049, 635706.311431]",computed from ood_test target min/max
nguyen/Nguyen-11,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-11,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-11,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-11,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-11,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-11,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-11,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-11,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-5,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-5,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-5,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-5,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-6,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-6,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-6,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-6,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-7,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-7,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-7,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-7,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-8,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-8,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-8,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-8,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-9,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-9,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-9,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-9,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_leavitt,splits.train.ratio,null,9.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.ood_test.ratio,null,1.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.train.nmse,null,0.0610041439695,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,splits.valid.nmse,null,12.2737690963,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,splits.id_test.nmse,null,0.0668095535711,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,splits.ood_test.nmse,null,0.0634502738367,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_newton,splits.train.ratio,null,10.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.ood_test.ratio,null,2.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.train.nmse,null,9.55790904421e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,splits.valid.nmse,null,0.000190516150021,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,splits.id_test.nmse,null,0.0269116875478,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,splits.ood_test.nmse,null,8.31894869706e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_rydberg,splits.train.ratio,null,9.25,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.ood_test.ratio,null,1.25,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.train.nmse,null,3.87025303362e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,splits.valid.nmse,null,1.98557713632e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,splits.id_test.nmse,null,0.000384751944484,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,splits.ood_test.nmse,null,1.74743595646e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_tully_fisher,splits.train.ratio,null,6,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.ood_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.train.nmse,null,0.0828549053204,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,splits.valid.nmse,null,0.873933366115,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,splits.id_test.nmse,null,0.0165921364245,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,splits.ood_test.nmse,null,0.00173043081222,computed from formula.py and split CSV
srsd/srsd-feynman_easy/feynman-ii.15.4,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.12.1,target.ood_range,null,"[0.0085785533172, 1.57193832268]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.14.3,target.ood_range,null,"[-12.3275816405, -0.0827747892308]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.18.12,target.ood_range,null,"[-45.0536854388, 44.7312452419]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.18.16,target.ood_range,null,"[-556.570428539, 524.776451025]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.26.2,target.ood_range,null,"[-1531.59704632, 33.3801145797]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.27.6,target.ood_range,null,"[7.71766484543e-05, 0.113533911556]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-ii.38.3,target.ood_range,null,"[-1.6837887584, 1.67732630923]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-iii.12.43,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-iii.15.27,target.ood_range,null,"[-9228149861460.0, 11672898435700.0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.17,target.ood_range,null,"[40435522853700.0, 97731455527306528]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.2,target.ood_range,null,"[1275992731142042, 361567783459630612480]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.20,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.4,target.ood_range,null,"[0.128650242245, 46.9625766196]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.7,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-ii.11.28,target.ood_range,null,"[1.00000000933, 1.00000157546]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-ii.35.18,target.ood_range,null,"[39979219481107563020288, 6293324063110860713754624]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.10,target.ood_range,null,"[-1.82809095775, 21.4826896158]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.11,target.ood_range,null,"[8.08550078305e-07, 1341.24503052]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.16,target.ood_range,null,"[200.710909527, 4608.66291913]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.5,target.ood_range,null,"[131298.204382, 324951124.744]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.15.3x,target.ood_range,null,"[-949497.473283, 708069.923037]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.37.4,target.ood_range,null,"[0.121535184802, 0.499715986151]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.41.16,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.44.4,target.ood_range,null,"[-9210306.62771, 10039292.4042]",computed from ood_test target min/max
srsd/srsd-feynman_medium/feynman-i.43.31,target.ood_range,null,"[1.24804584676e-07, 2.18294177816e-05]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-bonus.8,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-i.10.7,target.ood_range,null,"[0.0868308881052, 14.1518568277]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-i.11.19,target.ood_range,null,"[-453.417004508, 438.691350806]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-i.18.4,target.ood_range,null,"[-12.4770189559, 12.4788055402]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-ii.21.32,target.ood_range,null,"[-2208859235.15, 1977281700.57]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-ii.8.7,target.ood_range,null,"[48.269029068, 140348.665203]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-iii.13.18,target.ood_range,null,"[-142332.485014, 134359.757357]",computed from ood_test target min/max
