family,subgroup,dataset_name,dataset_dir,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,has_formula_py,resolved_dataset_dir,error_type,error
llm-srbench,lsrtransform,I.15.1_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.15.1_1_0/ood_test.csv 中缺少目标列 v')
llm-srbench,lsrtransform,I.15.3t_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.15.3t_0_0/ood_test.csv 中缺少目标列 x')
llm-srbench,lsrtransform,I.24.6_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_0_0/ood_test.csv 中缺少目标列 m')
llm-srbench,lsrtransform,I.24.6_1_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_1_1/ood_test.csv 中缺少目标列 omega')
llm-srbench,lsrtransform,I.24.6_2_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_2_1/ood_test.csv 中缺少目标列 omega_0')
llm-srbench,lsrtransform,I.24.6_3_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/ood_test.csv 中缺少目标列 x')
llm-srbench,lsrtransform,I.27.6_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.27.6_2_0/ood_test.csv 中缺少目标列 n')
llm-srbench,lsrtransform,I.29.16_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.29.16_0_0/ood_test.csv 中缺少目标列 x1')
llm-srbench,lsrtransform,I.29.16_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.29.16_1_0/ood_test.csv 中缺少目标列 x2')
llm-srbench,lsrtransform,I.30.3_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.30.3_0_0/ood_test.csv 中缺少目标列 Int_0')
llm-srbench,lsrtransform,I.32.17_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_2_0/ood_test.csv 中缺少目标列 Ef')
llm-srbench,lsrtransform,I.32.17_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_3_0/ood_test.csv 中缺少目标列 r')
llm-srbench,lsrtransform,I.32.17_4_3,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_4_3/ood_test.csv 中缺少目标列 omega')
llm-srbench,lsrtransform,I.32.17_5_3,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.17_5_3/ood_test.csv 中缺少目标列 omega_0')
llm-srbench,lsrtransform,I.32.5_0_1,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.5_0_1/ood_test.csv 中缺少目标列 q')
llm-srbench,lsrtransform,I.32.5_1_1,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.32.5_1_1/ood_test.csv 中缺少目标列 a')
llm-srbench,lsrtransform,I.34.14_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.34.14_2_0/ood_test.csv 中缺少目标列 omega_0')
llm-srbench,lsrtransform,I.34.1_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.34.1_2_0/ood_test.csv 中缺少目标列 omega_0')
llm-srbench,lsrtransform,I.37.4_0_1,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.37.4_0_1/ood_test.csv 中缺少目标列 I1')
llm-srbench,lsrtransform,I.37.4_1_1,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.37.4_1_1/ood_test.csv 中缺少目标列 I2')
llm-srbench,lsrtransform,I.40.1_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0/ood_test.csv 中缺少目标列 g')
llm-srbench,lsrtransform,I.43.43_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.43.43_0_0/ood_test.csv 中缺少目标列 gamma')
llm-srbench,lsrtransform,I.43.43_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.43.43_3_0/ood_test.csv 中缺少目标列 v')
llm-srbench,lsrtransform,I.44.4_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.44.4_2_0/ood_test.csv 中缺少目标列 T')
