dataset_id,global_index,dataset_name,method,host,wave,expected_dataset_rel,expected_feature_count,actual_feature_count,result_relpath
g0009,9,feynman-ii.15.4,tpsr,iaaccn22,W5,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,6,3,results/W5/tpsr/iaaccn22/g0009_feynman-ii.15.4/result.json
g0015,15,feynman-i.41.16,drsr,iaaccn26,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,2,5,results/W2/drsr/iaaccn26/g0015_feynman-i.41.16/result.json
g0015,15,feynman-i.41.16,gplearn,iaaccn22,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,2,5,results/W1/gplearn/iaaccn22/g0015_feynman-i.41.16/result.json
g0015,15,feynman-i.41.16,llmsr,iaaccn26,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,2,5,results/W1/llmsr/iaaccn26/g0015_feynman-i.41.16/result.json
g0015,15,feynman-i.41.16,pyoperon,iaaccn22,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,2,5,results/W2/pyoperon/iaaccn22/g0015_feynman-i.41.16/result.json
g0015,15,feynman-i.41.16,tpsr,iaaccn22,W5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,2,5,results/W5/tpsr/iaaccn22/g0015_feynman-i.41.16/result.json
g0022,22,feynman-ii.11.20,pyoperon,iaaccn22,W2,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,6,4,results/W2/pyoperon/iaaccn22/g0022_feynman-ii.11.20/result.json
g0022,22,feynman-ii.11.20,pysr,iaaccn22,W3,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,6,4,results/W3/pysr/iaaccn22/g0022_feynman-ii.11.20/result.json
g0022,22,feynman-ii.11.20,tpsr,iaaccn22,W5,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,6,4,results/W5/tpsr/iaaccn22/g0022_feynman-ii.11.20/result.json
g0025,25,feynman-bonus.4,llmsr,iaaccn26,W1,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,8,5,results/W1/llmsr/iaaccn26/g0025_feynman-bonus.4/result.json
g0025,25,feynman-bonus.4,pyoperon,iaaccn22,W2,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,8,5,results/W2/pyoperon/iaaccn22/g0025_feynman-bonus.4/result.json
g0025,25,feynman-bonus.4,pysr,iaaccn22,W3,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,8,5,results/W3/pysr/iaaccn22/g0025_feynman-bonus.4/result.json
g0025,25,feynman-bonus.4,tpsr,iaaccn22,W5,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,8,5,results/W5/tpsr/iaaccn22/g0025_feynman-bonus.4/result.json
g0026,26,feynman-bonus.4,drsr,iaaccn26,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,5,8,results/W2/drsr/iaaccn26/g0026_feynman-bonus.4/result.json
g0026,26,feynman-bonus.4,dso,iaaccn22,W4,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,5,8,results/W4/dso/iaaccn22/g0026_feynman-bonus.4/result.json
g0026,26,feynman-bonus.4,gplearn,iaaccn22,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,5,8,results/W1/gplearn/iaaccn22/g0026_feynman-bonus.4/result.json
g0032,32,feynman-i.41.16,pysr,iaaccn22,W3,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16,5,2,results/W3/pysr/iaaccn22/g0032_feynman-i.41.16/result.json
g0033,33,feynman-iii.4.33,gplearn,iaaccn22,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,2,5,results/W1/gplearn/iaaccn22/g0033_feynman-iii.4.33/result.json
g0033,33,feynman-iii.4.33,llmsr,iaaccn26,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,2,5,results/W1/llmsr/iaaccn26/g0033_feynman-iii.4.33/result.json
g0033,33,feynman-iii.4.33,pyoperon,iaaccn22,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,2,5,results/W2/pyoperon/iaaccn22/g0033_feynman-iii.4.33/result.json
g0033,33,feynman-iii.4.33,pysr,iaaccn22,W3,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,2,5,results/W3/pysr/iaaccn22/g0033_feynman-iii.4.33/result.json
g0033,33,feynman-iii.4.33,tpsr,iaaccn22,W5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,2,5,results/W5/tpsr/iaaccn22/g0033_feynman-iii.4.33/result.json
g0034,34,feynman-iii.4.33,drsr,iaaccn26,W2,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,5,2,results/W2/drsr/iaaccn26/g0034_feynman-iii.4.33/result.json
g0034,34,feynman-iii.4.33,dso,iaaccn23,W4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,5,2,results/W4/dso/iaaccn23/g0034_feynman-iii.4.33/result.json
g0042,42,feynman-bonus.5,drsr,iaaccn26,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,3,6,results/W2/drsr/iaaccn26/g0042_feynman-bonus.5/result.json
g0042,42,feynman-bonus.5,gplearn,iaaccn22,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,3,6,results/W1/gplearn/iaaccn22/g0042_feynman-bonus.5/result.json
g0042,42,feynman-bonus.5,pyoperon,iaaccn22,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,3,6,results/W2/pyoperon/iaaccn22/g0042_feynman-bonus.5/result.json
g0042,42,feynman-bonus.5,pysr,iaaccn22,W3,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,3,6,results/W3/pysr/iaaccn22/g0042_feynman-bonus.5/result.json
g0042,42,feynman-bonus.5,tpsr,iaaccn22,W5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,3,6,results/W5/tpsr/iaaccn22/g0042_feynman-bonus.5/result.json
g0044,44,feynman-bonus.5,llmsr,iaaccn26,W1,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5,6,3,results/W1/llmsr/iaaccn26/g0044_feynman-bonus.5/result.json
g0072,72,feynman-i.43.31,drsr,iaaccn27,W2,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,2,3,results/W2/drsr/iaaccn27/g0072_feynman-i.43.31/result.json
g0072,72,feynman-i.43.31,pyoperon,iaaccn23,W2,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,2,3,results/W2/pyoperon/iaaccn23/g0072_feynman-i.43.31/result.json
g0072,72,feynman-i.43.31,tpsr,iaaccn23,W5,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,2,3,results/W5/tpsr/iaaccn23/g0072_feynman-i.43.31/result.json
g0073,73,feynman-i.43.31,dso,iaaccn24,W4,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,3,2,results/W4/dso/iaaccn24/g0073_feynman-i.43.31/result.json
g0073,73,feynman-i.43.31,gplearn,iaaccn23,W1,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,3,2,results/W1/gplearn/iaaccn23/g0073_feynman-i.43.31/result.json
g0073,73,feynman-i.43.31,llmsr,iaaccn27,W1,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,3,2,results/W1/llmsr/iaaccn27/g0073_feynman-i.43.31/result.json
g0073,73,feynman-i.43.31,pysr,iaaccn23,W3,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,3,2,results/W3/pysr/iaaccn23/g0073_feynman-i.43.31/result.json
g0173,173,feynman-ii.35.18,drsr,iaaccn29,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,4,6,results/W2/drsr/iaaccn29/g0173_feynman-ii.35.18/result.json
g0173,173,feynman-ii.35.18,gplearn,iaaccn25,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,4,6,results/W1/gplearn/iaaccn25/g0173_feynman-ii.35.18/result.json
g0173,173,feynman-ii.35.18,llmsr,iaaccn29,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,4,6,results/W1/llmsr/iaaccn29/g0173_feynman-ii.35.18/result.json
g0173,173,feynman-ii.35.18,tpsr,iaaccn25,W5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,4,6,results/W5/tpsr/iaaccn25/g0173_feynman-ii.35.18/result.json
g0174,174,feynman-ii.35.18,dso,iaaccn28,W4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,6,4,results/W4/dso/iaaccn28/g0174_feynman-ii.35.18/result.json
g0174,174,feynman-ii.35.18,pyoperon,iaaccn25,W2,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,6,4,results/W2/pyoperon/iaaccn25/g0174_feynman-ii.35.18/result.json
g0174,174,feynman-ii.35.18,pysr,iaaccn25,W3,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,6,4,results/W3/pysr/iaaccn25/g0174_feynman-ii.35.18/result.json
