dataset_dir,field,old_value,new_value,reason
korns/Korns-3,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-3,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-4,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-4,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-4,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-4,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-4,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-5,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-5,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-5,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-5,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-5,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-8,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-8,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-8,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-8,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-8,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-9,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-9,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-9,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-9,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-9,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
llm-srbench/lsrtransform/I.11.19_1_0,target.ood_range,null,"[-106.517418525, 24.7530835136]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_2_0,target.ood_range,null,"[-106.209653697, 24.2785369317]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_3_0,target.ood_range,null,"[1.43070437853, 140.032627989]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_4_0,target.ood_range,null,"[-107.369652275, 24.1756620469]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.11.19_5_0,target.ood_range,null,"[-105.701166933, 24.8121782994]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.13.12_3_0,target.ood_range,null,"[-7.00114057276, 1.69971322403]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.24.6_3_1,target.ood_range,null,"[0.000861255662246, 15.8741546651]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.40.1_4_0,target.ood_range,null,"[-69.2212422134, 10.8123920756]",computed from ood_test target min/max
llm-srbench/lsrtransform/I.50.26_0_0,target.ood_range,null,"[-7891.20607602, 713.398295458]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.21.32_2_0,target.ood_range,null,"[-36855.7715349, 293315.250512]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.21.32_3_0,target.ood_range,null,"[-789223.876261, 740881.423393]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29b_2_0,target.ood_range,null,"[-165.861074322, 4068.3949668]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.29b_4_0,target.ood_range,null,"[-172.489578602, 4070.65432316]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.34.2_1_0,target.ood_range,null,"[-5.40363812186, 189.216727972]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_0_0,target.ood_range,null,"[-153600.671737, 76654.0379478]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_4_0,target.ood_range,null,"[-3786.40776703, 207.041817967]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.36.38_5_0,target.ood_range,null,"[-1845.50732251, 36466.7673678]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.37.1_2_0,target.ood_range,null,"[-5.62185570371, 211.586044018]",computed from ood_test target min/max
llm-srbench/lsrtransform/II.6.15b_3_0,target.ood_range,null,"[0.25141378963, 1.55883398136]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.13.18_0_0,target.ood_range,null,"[-191.757678772, 4528.77380659]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.15.14_1_0,target.ood_range,null,"[-504251.26866, 347364.975851]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.15.27_1_0,target.ood_range,null,"[-90163.0202977, 1969765.60355]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.15.27_2_0,target.ood_range,null,"[-23105.7607821, 148956.933052]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.21.20_2_0,target.ood_range,null,"[-29.7678749189, 721.735080091]",computed from ood_test target min/max
llm-srbench/lsrtransform/III.21.20_3_0,target.ood_range,null,"[-307049.473049, 635706.311431]",computed from ood_test target min/max
nguyen/Nguyen-11,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-11,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-11,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-11,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-11,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-11,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-11,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-11,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-5,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-5,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-5,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-5,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-5,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-6,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-6,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-6,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-6,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-6,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-7,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-7,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-7,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-7,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-7,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-8,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-8,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-8,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-8,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-8,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.train.ratio,null,8,samples / id_test.samples
nguyen/Nguyen-9,splits.valid.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-9,splits.id_test.ratio,null,1,samples / id_test.samples
nguyen/Nguyen-9,splits.ood_test.ratio,null,100,samples / id_test.samples
nguyen/Nguyen-9,splits.train.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.valid.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.id_test.nmse,null,0,computed from formula.py and split CSV
nguyen/Nguyen-9,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_kepler,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_kepler,splits.train.ratio,null,3,samples / id_test.samples
srbench2025/firstprinciples/first_principles_kepler,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_kepler,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_kepler,splits.ood_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_kepler,splits.train.nmse,null,2.2947180112e-07,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_leavitt,splits.train.ratio,null,9.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.ood_test.ratio,null,1.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_leavitt,splits.train.nmse,null,0.0610041439695,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,splits.valid.nmse,null,12.2737690963,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,splits.id_test.nmse,null,0.0668095535711,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_leavitt,splits.ood_test.nmse,null,0.0634502738367,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_newton,splits.train.ratio,null,10.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.ood_test.ratio,null,2.5,samples / id_test.samples
srbench2025/firstprinciples/first_principles_newton,splits.train.nmse,null,9.55790904421e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,splits.valid.nmse,null,0.000190516150021,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,splits.id_test.nmse,null,0.0269116875478,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_newton,splits.ood_test.nmse,null,8.31894869706e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_planck,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_planck,splits.train.ratio,null,8,samples / id_test.samples
srbench2025/firstprinciples/first_principles_planck,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_planck,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_planck,splits.ood_test.ratio,null,1.11111111111,samples / id_test.samples
srbench2025/firstprinciples/first_principles_planck,splits.train.nmse,null,1.87354768246e-07,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_planck,splits.valid.nmse,null,4.59358738455e-06,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_planck,splits.id_test.nmse,null,5.13434551098e-06,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_planck,splits.ood_test.nmse,null,0.000525565597346,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_rydberg,splits.train.ratio,null,9.25,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.ood_test.ratio,null,1.25,samples / id_test.samples
srbench2025/firstprinciples/first_principles_rydberg,splits.train.nmse,null,3.87025303362e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,splits.valid.nmse,null,1.98557713632e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,splits.id_test.nmse,null,0.000384751944484,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_rydberg,splits.ood_test.nmse,null,1.74743595646e-05,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,dataset.ground_truth_formula.file,null,"""formula.py""",formula.py exists
srbench2025/firstprinciples/first_principles_tully_fisher,splits.train.ratio,null,6,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.valid.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.id_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.ood_test.ratio,null,1,samples / id_test.samples
srbench2025/firstprinciples/first_principles_tully_fisher,splits.train.nmse,null,0.0828549053204,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,splits.valid.nmse,null,0.873933366115,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,splits.id_test.nmse,null,0.0165921364245,computed from formula.py and split CSV
srbench2025/firstprinciples/first_principles_tully_fisher,splits.ood_test.nmse,null,0.00173043081222,computed from formula.py and split CSV
srsd/srsd-feynman_easy/feynman-ii.15.4,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.12.1,target.ood_range,null,"[0.0085785533172, 1.57193832268]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.14.3,target.ood_range,null,"[-12.3275816405, -0.0827747892308]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.14.4,target.ood_range,null,"[42.1952206257, 6292.19751043]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.18.12,target.ood_range,null,"[-45.0536854388, 44.7312452419]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.18.16,target.ood_range,null,"[-556.570428539, 524.776451025]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.25.13,target.ood_range,null,"[-214.825306512, 231.236497859]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.26.2,target.ood_range,null,"[-1531.59704632, 33.3801145797]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.27.6,target.ood_range,null,"[7.71766484543e-05, 0.113533911556]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-i.30.5,target.ood_range,null,"[-9.90546458476e-06, 3.72174832759e-06]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-ii.15.5,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-ii.34.11,target.ood_range,null,"[-1521856360670000.0, 767376649066000.0]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-ii.38.3,target.ood_range,null,"[-1.6837887584, 1.67732630923]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-ii.8.31,target.ood_range,null,"[3.0747715206e-10, 6.99870294755e-06]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-iii.12.43,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_easy_dummy/feynman-iii.15.27,target.ood_range,null,"[-9228149861460.0, 11672898435700.0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.11,target.ood_range,null,"[1.93536795402e-07, 1341.36690254]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.17,target.ood_range,null,"[40435522853700.0, 97731455527306528]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.2,target.ood_range,null,"[1275992731142042, 361567783459630612480]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.20,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.4,target.ood_range,null,"[0.128650242245, 46.9625766196]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.5,target.ood_range,null,"[123983.541618, 327168876.858]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-bonus.7,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-i.41.16,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-i.50.26,target.ood_range,null,"[-13.8933990163, 13.6894101249]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-ii.11.20,target.ood_range,null,"[-39903013012000.0, 27211437825000.0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-ii.11.27,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-ii.11.28,target.ood_range,null,"[1.00000000933, 1.00000157546]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-ii.35.18,target.ood_range,null,"[39979219481107563020288, 6293324063110860713754624]",computed from ood_test target min/max
srsd/srsd-feynman_hard/feynman-iii.4.33,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.10,target.ood_range,null,"[-1.82809095775, 21.4826896158]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.11,target.ood_range,null,"[8.08550078305e-07, 1341.24503052]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.16,target.ood_range,null,"[200.710909527, 4608.66291913]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.17,target.ood_range,null,"[44226693468100.0, 143996934682882592]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.3,target.ood_range,null,"[-601312005.732, 13195731494.1]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.4,target.ood_range,null,"[0.0611078237468, 60.4406508667]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.5,target.ood_range,null,"[131298.204382, 324951124.744]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-bonus.7,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.15.3x,target.ood_range,null,"[-949497.473283, 708069.923037]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.37.4,target.ood_range,null,"[0.121535184802, 0.499715986151]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.41.16,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-i.44.4,target.ood_range,null,"[-9210306.62771, 10039292.4042]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,target.ood_range,null,"[-473240991762.0, 61668683112700.0]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,target.ood_range,null,"[43328162603816691171328, 6293891810937490290769920]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-ii.36.38,target.ood_range,null,"[-87948809240348295168, 176880334196848787456]",computed from ood_test target min/max
srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
srsd/srsd-feynman_medium/feynman-i.43.31,target.ood_range,null,"[1.24804584676e-07, 2.18294177816e-05]",computed from ood_test target min/max
srsd/srsd-feynman_medium_dummy/feynman-bonus.8,target.ood_range,null,"[0, 0]",computed from ood_test target min/max
