experiment_id,remote_dir,status,created_at_local,created_at_utc,seed,problem_name,dataset_name,dataset_family,dataset_key,train_path,model_alias,llm_model,llm_config_path,prompts_type,prompt_level,prompt_family,prompt_naming,prompt_setting,wandb_project,wandb_name,wandb_group,wandb_tags,niterations,samples_per_iteration,max_params,feature_count,feature_names,target_name,progress_entries,final_iteration,best_nmse,best_mse,best_sample_order,llm_prompt_tokens,llm_thinking_tokens,llm_content_tokens,llm_total_tokens,llm_time_seconds,background_sha1,background_preview
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18_llmsr_seed1314_20251128-074142,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18_llmsr_seed1314_20251128-074142,success,2025-11-28T07:41:42.834587+08:00,2025-11-27T23:41:42.834600Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Named,L1,Struct,Named,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18,sim-group,"sim,llmsr,4omini,L1_Struct_Named",250,4,10,2,"x0,x1",y,251,251,4.7110086116568333e-07,1.4385649735119592e-05,151,1001416,0,653413,1654829,9858.54,8f7e092be14d,"This is a problem from the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized Retu"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025_llmsr_seed1314_20251128-073008,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025_llmsr_seed1314_20251128-073008,success,2025-11-28T07:30:08.479228+08:00,2025-11-27T23:30:08.479246Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Named,L1,Struct,Named,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025,sim-group,"sim,llmsr,4omini,L1_Struct_Named",250,4,10,2,"x0,x1",y,250,251,4.859113215529057e-07,1.4837905532358548e-05,270,975824,0,639933,1615757,8559.13,8f7e092be14d,"This is a problem from the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized Retu"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025_llmsr_seed1314_20251128-074025,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025_llmsr_seed1314_20251128-074025,success,2025-11-28T07:40:25.322308+08:00,2025-11-27T23:40:25.322326Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Named,L1,Struct,Named,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s2025,sim-group,"sim,llmsr,4omini,L1_Struct_Named",250,4,10,2,"x0,x1",y,251,251,3.014427538475793e-07,9.204928773237896e-06,235,926616,0,620598,1547214,8439.51,8f7e092be14d,"This is a problem from the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized Retu"
llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s10_llmsr_seed1314_20251128-044020,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s10_llmsr_seed1314_20251128-044020,success,2025-11-28T04:40:21.001745+08:00,2025-11-27T20:40:21.001758Z,1314,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L2_SciPrior_Anon,L2,SciPrior,Anon,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s10,sim-group,"sim,llmsr,4omini,L2_SciPrior_Anon",250,4,10,2,"x0,x1",y,251,251,1.7016040011128825e-06,5.196059095990269e-05,685,1016324,0,680052,1696376,9632.57,ee5c1e0c09d5,"These data originate from real-world experiments in the natural sciences. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be opti"
llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s18_llmsr_seed1314_20251128-044024,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s18_llmsr_seed1314_20251128-044024,success,2025-11-28T04:40:24.669033+08:00,2025-11-27T20:40:24.669059Z,1314,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L2_SciPrior_Anon,L2,SciPrior,Anon,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s18,sim-group,"sim,llmsr,4omini,L2_SciPrior_Anon",250,4,10,2,"x0,x1",y,251,251,8.650204342033984e-07,2.641447300559002e-05,490,1401485,0,681996,2083481,9929.54,ee5c1e0c09d5,"These data originate from real-world experiments in the natural sciences. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be opti"
llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s2025_llmsr_seed1314_20251128-044020,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s2025_llmsr_seed1314_20251128-044020,success,2025-11-28T04:40:20.996249+08:00,2025-11-27T20:40:20.996263Z,1314,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L2_SciPrior_Anon,L2,SciPrior,Anon,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Anon__s2025,sim-group,"sim,llmsr,4omini,L2_SciPrior_Anon",250,4,10,2,"x0,x1",y,251,251,1.139075175584886e-06,3.478307481202214e-05,369,1053048,0,691377,1744425,9641.93,ee5c1e0c09d5,"These data originate from real-world experiments in the natural sciences. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be opti"
llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s10_llmsr_seed1314_20251128-044149,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s10_llmsr_seed1314_20251128-044149,success,2025-11-28T04:41:49.898992+08:00,2025-11-27T20:41:49.899008Z,1314,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L2_SciPrior_Named,L2,SciPrior,Named,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s10,sim-group,"sim,llmsr,4omini,L2_SciPrior_Named",250,4,10,2,"x0,x1",y,251,251,2.724941308088766e-07,8.320946624875127e-06,591,940856,0,638907,1579763,8219.91,d28520d648fa,"These data originate from real-world experiments in the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or pa"
llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s18_llmsr_seed1314_20251128-044149,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s18_llmsr_seed1314_20251128-044149,success,2025-11-28T04:41:49.917239+08:00,2025-11-27T20:41:49.917255Z,1314,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L2_SciPrior_Named,L2,SciPrior,Named,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s18,sim-group,"sim,llmsr,4omini,L2_SciPrior_Named",250,4,10,2,"x0,x1",y,251,251,5.185980662742531e-07,1.5836035867716182e-05,676,940332,0,638639,1578971,8979.74,d28520d648fa,"These data originate from real-world experiments in the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or pa"
llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s2025_llmsr_seed1314_20251128-044223,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s2025_llmsr_seed1314_20251128-044223,success,2025-11-28T04:42:23.480454+08:00,2025-11-27T20:42:23.480775Z,1314,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L2_SciPrior_Named,L2,SciPrior,Named,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L2_SciPrior_Named__s2025,sim-group,"sim,llmsr,4omini,L2_SciPrior_Named",250,4,10,2,"x0,x1",y,248,251,1.7393500117289486e-06,5.3113212261161275e-05,982,929960,0,629295,1559255,9134.91,d28520d648fa,"These data originate from real-world experiments in the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or pa"
llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10_llmsr_seed1314_20251128-072201,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10_llmsr_seed1314_20251128-072201,success,2025-11-28T07:22:01.142180+08:00,2025-11-27T23:22:01.142195Z,1314,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L3_Abstract_Anon,L3,Abstract,Anon,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10,sim-group,"sim,llmsr,4omini,L3_Abstract_Anon",250,4,10,2,"x0,x1",y,251,251,3.7121055678028013e-06,0.0001133537526254224,24,806896,0,575737,1382633,8415.4,be741281d5c7,"This is an abstract symbolic regression problem. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependen"
llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10_llmsr_seed1314_20251128-083612,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10_llmsr_seed1314_20251128-083612,success,2025-11-28T08:36:12.571245+08:00,2025-11-28T00:36:12.571261Z,1314,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L3_Abstract_Anon,L3,Abstract,Anon,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s10,sim-group,"sim,llmsr,4omini,L3_Abstract_Anon",250,4,10,2,"x0,x1",y,251,251,1.450328304183619e-06,4.428757555927671e-05,165,841956,0,601472,1443428,9000.38,be741281d5c7,"This is an abstract symbolic regression problem. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependen"
llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s18_llmsr_seed1314_20251128-071906,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s18_llmsr_seed1314_20251128-071906,success,2025-11-28T07:19:06.470103+08:00,2025-11-27T23:19:06.470122Z,1314,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L3_Abstract_Anon,L3,Abstract,Anon,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s18,sim-group,"sim,llmsr,4omini,L3_Abstract_Anon",250,4,10,2,"x0,x1",y,251,251,3.5582400074437606e-06,0.00010865527669365246,158,817868,0,592399,1410267,8707.81,be741281d5c7,"This is an abstract symbolic regression problem. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependen"
llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025_llmsr_seed1314_20251128-070158,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025_llmsr_seed1314_20251128-070158,success,2025-11-28T07:01:58.946271+08:00,2025-11-27T23:01:58.946295Z,1314,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L3_Abstract_Anon,L3,Abstract,Anon,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025,sim-group,"sim,llmsr,4omini,L3_Abstract_Anon",250,4,10,2,"x0,x1",y,251,251,1.1388267804882274e-06,3.477548975932746e-05,266,886076,0,633821,1519897,9186.71,be741281d5c7,"This is an abstract symbolic regression problem. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependen"
llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025_llmsr_seed1314_20251128-073256,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025_llmsr_seed1314_20251128-073256,success,2025-11-28T07:32:56.737471+08:00,2025-11-27T23:32:56.737498Z,1314,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L3_Abstract_Anon,L3,Abstract,Anon,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Anon__s2025,sim-group,"sim,llmsr,4omini,L3_Abstract_Anon",250,4,10,2,"x0,x1",y,251,251,2.1963445311875165e-06,6.706810733720351e-05,215,854708,0,614748,1469456,8848.01,be741281d5c7,"This is an abstract symbolic regression problem. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependen"
llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Named__s10_llmsr_seed1314_20251128-044155,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Named__s10_llmsr_seed1314_20251128-044155,success,2025-11-28T04:41:55.951705+08:00,2025-11-27T20:41:55.951725Z,1314,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Named__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L3_Abstract_Named,L3,Abstract,Named,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L3_Abstract_Named__s10,sim-group,"sim,llmsr,4omini,L3_Abstract_Named",250,4,10,2,"x0,x1",y,250,251,3.383238398610714e-07,1.0331138527828689e-05,136,1022096,0,676059,1698155,9066.41,ad6e1f5ef698,"This is an abstract symbolic regression problem. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized "
